Origin 3-Digit   Destination 3-Digit   Changed From   Changed To   
074              008                   7              A            
074              009                   7              A            
074              967                   8              A            
074              968                   8              A            
074              995                   8              A            
074              996                   8              A            
074              997                   8              A            
074              998                   8              A            
074              999                   8              A            
075              006                   7              A            
075              007                   7              A            
075              008                   7              A            
075              009                   7              A            
075              967                   8              A            
075              968                   8              A            
075              995                   8              A            
075              996                   8              A            
075              997                   8              A            
075              998                   8              A            
075              999                   8              A            
076              006                   7              A            
076              007                   7              A            
076              008                   7              A            
076              009                   7              A            
076              967                   8              A            
076              968                   8              A            
076              995                   8              A            
076              996                   8              A            
076              997                   8              A            
076              998                   8              A            
076              999                   8              A            
077              006                   7              A            
077              007                   7              A            
077              008                   7              A            
077              009                   7              A            
077              967                   8              A            
077              968                   8              A            
077              995                   8              A            
077              996                   8              A            
077              997                   8              A            
077              998                   8              A            
077              999                   8              A            
078              006                   7              A            
078              007                   7              A            
078              008                   7              A            
078              009                   7              A            
078              967                   8              A            
078              968                   8              A            
078              995                   8              A            
078              996                   8              A            
078              997                   8              A            
078              998                   8              A            
078              999                   8              A            
079              006                   7              A            
079              007                   7              A            
079              008                   7              A            
079              009                   7              A            
079              967                   8              A            
079              968                   8              A            
079              995                   8              A            
079              996                   8              A            
079              997                   8              A            
079              998                   8              A            
079              999                   8              A            
080              006                   7              A            
080              007                   7              A            
080              008                   7              A            
080              009                   7              A            
080              967                   8              A            
080              968                   8              A            
080              995                   8              A            
080              996                   8              A            
080              997                   8              A            
080              998                   8              A            
080              999                   8              A            
081              006                   7              A            
081              007                   7              A            
081              008                   7              A            
081              009                   7              A            
081              967                   8              A            
081              968                   8              A            
081              995                   8              A            
081              996                   8              A            
081              997                   8              A            
081              998                   8              A            
081              999                   8              A            
082              006                   7              A            
082              007                   7              A            
082              008                   7              A            
082              009                   7              A            
082              967                   8              A            
082              968                   8              A            
082              995                   8              A            
082              996                   8              A            
082              997                   8              A            
082              998                   8              A            
082              999                   8              A            
083              006                   7              A            
083              007                   7              A            
083              008                   7              A            
083              009                   7              A            
083              967                   8              A            
083              968                   8              A            
083              995                   8              A            
083              996                   8              A            
083              997                   8              A            
083              998                   8              A            
083              999                   8              A            
084              006                   7              A            
084              007                   7              A            
084              008                   7              A            
084              009                   7              A            
084              967                   8              A            
084              968                   8              A            
084              995                   8              A            
084              996                   8              A            
084              997                   8              A            
084              998                   8              A            
084              999                   8              A            
085              006                   7              A            
085              007                   7              A            
085              008                   7              A            
085              009                   7              A            
085              967                   8              A            
085              968                   8              A            
085              995                   8              A            
085              996                   8              A            
085              997                   8              A            
085              998                   8              A            
085              999                   8              A            
086              006                   7              A            
086              007                   7              A            
086              008                   7              A            
086              009                   7              A            
086              967                   8              A            
086              968                   8              A            
086              995                   8              A            
086              996                   8              A            
086              997                   8              A            
086              998                   8              A            
086              999                   8              A            
087              006                   7              A            
087              007                   7              A            
087              008                   7              A            
087              009                   7              A            
087              967                   8              A            
087              968                   8              A            
087              995                   8              A            
087              996                   8              A            
087              997                   8              A            
087              998                   8              A            
087              999                   8              A            
088              006                   7              A            
088              007                   7              A            
088              008                   7              A            
088              009                   7              A            
088              967                   8              A            
088              968                   8              A            
088              995                   8              A            
088              996                   8              A            
088              997                   8              A            
088              998                   8              A            
088              999                   8              A            
089              006                   7              A            
089              007                   7              A            
089              008                   7              A            
089              009                   7              A            
089              967                   8              A            
089              968                   8              A            
089              995                   8              A            
089              996                   8              A            
089              997                   8              A            
089              998                   8              A            
089              999                   8              A            
100              006                   7              A            
100              007                   7              A            
100              008                   7              A            
100              009                   7              A            
100              967                   8              A            
100              968                   8              A            
100              995                   8              A            
100              996                   8              A            
100              997                   8              A            
100              998                   8              A            
100              999                   8              A            
101              006                   7              A            
101              007                   7              A            
101              008                   7              A            
101              009                   7              A            
101              967                   8              A            
101              968                   8              A            
101              995                   8              A            
101              996                   8              A            
101              997                   8              A            
101              998                   8              A            
101              999                   8              A            
102              006                   7              A            
102              007                   7              A            
102              008                   7              A            
102              009                   7              A            
102              967                   8              A            
102              968                   8              A            
102              995                   8              A            
102              996                   8              A            
102              997                   8              A            
102              998                   8              A            
102              999                   8              A            
103              006                   7              A            
103              007                   7              A            
103              008                   7              A            
103              009                   7              A            
103              967                   8              A            
103              968                   8              A            
103              995                   8              A            
103              996                   8              A            
103              997                   8              A            
103              998                   8              A            
103              999                   8              A            
104              006                   7              A            
104              007                   7              A            
104              008                   7              A            
104              009                   7              A            
104              967                   8              A            
104              968                   8              A            
104              995                   8              A            
104              996                   8              A            
104              997                   8              A            
104              998                   8              A            
104              999                   8              A            
105              006                   7              A            
105              007                   7              A            
105              008                   7              A            
105              009                   7              A            
105              967                   8              A            
105              968                   8              A            
105              995                   8              A            
105              996                   8              A            
105              997                   8              A            
105              998                   8              A            
105              999                   8              A            
106              006                   7              A            
106              007                   7              A            
106              008                   7              A            
106              009                   7              A            
106              967                   8              A            
106              968                   8              A            
106              995                   8              A            
106              996                   8              A            
106              997                   8              A            
106              998                   8              A            
106              999                   8              A            
107              006                   7              A            
107              007                   7              A            
107              008                   7              A            
107              009                   7              A            
107              967                   8              A            
107              968                   8              A            
107              995                   8              A            
107              996                   8              A            
107              997                   8              A            
107              998                   8              A            
107              999                   8              A            
108              006                   7              A            
108              007                   7              A            
108              008                   7              A            
108              009                   7              A            
108              967                   8              A            
108              968                   8              A            
108              995                   8              A            
108              996                   8              A            
108              997                   8              A            
108              998                   8              A            
108              999                   8              A            
109              006                   7              A            
109              007                   7              A            
109              008                   7              A            
109              009                   7              A            
109              967                   8              A            
109              968                   8              A            
109              995                   8              A            
109              996                   8              A            
109              997                   8              A            
109              998                   8              A            
109              999                   8              A            
110              006                   7              A            
110              007                   7              A            
110              008                   7              A            
110              009                   7              A            
110              967                   8              A            
110              968                   8              A            
110              995                   8              A            
110              996                   8              A            
110              997                   8              A            
110              998                   8              A            
110              999                   8              A            
111              006                   7              A            
111              007                   7              A            
111              008                   7              A            
111              009                   7              A            
111              967                   8              A            
111              968                   8              A            
111              995                   8              A            
111              996                   8              A            
111              997                   8              A            
111              998                   8              A            
111              999                   8              A            
112              006                   7              A            
112              007                   7              A            
112              008                   7              A            
112              009                   7              A            
112              967                   8              A            
112              968                   8              A            
112              995                   8              A            
112              996                   8              A            
112              997                   8              A            
112              998                   8              A            
112              999                   8              A            
113              006                   7              A            
113              007                   7              A            
113              008                   7              A            
113              009                   7              A            
113              967                   8              A            
113              968                   8              A            
113              995                   8              A            
113              996                   8              A            
113              997                   8              A            
113              998                   8              A            
113              999                   8              A            
114              006                   7              A            
114              007                   7              A            
114              008                   7              A            
114              009                   7              A            
114              967                   8              A            
114              968                   8              A            
114              995                   8              A            
114              996                   8              A            
114              997                   8              A            
114              998                   8              A            
114              999                   8              A            
115              006                   7              A            
115              007                   7              A            
115              008                   7              A            
115              009                   7              A            
115              967                   8              A            
115              968                   8              A            
115              995                   8              A            
115              996                   8              A            
115              997                   8              A            
115              998                   8              A            
115              999                   8              A            
116              006                   7              A            
116              007                   7              A            
116              008                   7              A            
116              009                   7              A            
116              967                   8              A            
116              968                   8              A            
116              995                   8              A            
116              996                   8              A            
116              997                   8              A            
116              998                   8              A            
116              999                   8              A            
117              006                   7              A            
117              007                   7              A            
117              008                   7              A            
117              009                   7              A            
117              967                   8              A            
117              968                   8              A            
117              995                   8              A            
117              996                   8              A            
117              997                   8              A            
117              998                   8              A            
117              999                   8              A            
118              006                   7              A            
118              007                   7              A            
118              008                   7              A            
118              009                   7              A            
118              967                   8              A            
118              968                   8              A            
118              995                   8              A            
118              996                   8              A            
118              997                   8              A            
118              998                   8              A            
118              999                   8              A            
119              006                   7              A            
119              007                   7              A            
119              008                   7              A            
119              009                   7              A            
119              967                   8              A            
119              968                   8              A            
119              995                   8              A            
119              996                   8              A            
119              997                   8              A            
119              998                   8              A            
119              999                   8              A            
120              006                   7              A            
120              007                   7              A            
120              008                   7              A            
120              009                   7              A            
120              967                   8              A            
120              968                   8              A            
120              995                   8              A            
120              996                   8              A            
120              997                   8              A            
120              998                   8              A            
120              999                   8              A            
121              006                   7              A            
121              007                   7              A            
121              008                   7              A            
121              009                   7              A            
121              967                   8              A            
121              968                   8              A            
121              995                   8              A            
121              996                   8              A            
121              997                   8              A            
121              998                   8              A            
121              999                   8              A            
122              006                   7              A            
122              007                   7              A            
122              008                   7              A            
122              009                   7              A            
122              967                   8              A            
122              968                   8              A            
122              995                   8              A            
122              996                   8              A            
122              997                   8              A            
122              998                   8              A            
122              999                   8              A            
123              006                   7              A            
123              007                   7              A            
123              008                   7              A            
123              009                   7              A            
123              967                   8              A            
123              968                   8              A            
123              995                   8              A            
123              996                   8              A            
123              997                   8              A            
123              998                   8              A            
123              999                   8              A            
124              006                   7              A            
124              007                   7              A            
124              008                   7              A            
124              009                   7              A            
124              967                   8              A            
124              968                   8              A            
124              995                   8              A            
124              996                   8              A            
124              997                   8              A            
124              998                   8              A            
124              999                   8              A            
125              006                   7              A            
125              007                   7              A            
125              008                   7              A            
125              009                   7              A            
125              967                   8              A            
125              968                   8              A            
125              995                   8              A            
125              996                   8              A            
125              997                   8              A            
125              998                   8              A            
125              999                   8              A            
126              006                   7              A            
126              007                   7              A            
126              008                   7              A            
126              009                   7              A            
126              967                   8              A            
126              968                   8              A            
126              995                   8              A            
126              996                   8              A            
126              997                   8              A            
126              998                   8              A            
126              999                   8              A            
127              006                   7              A            
127              007                   7              A            
127              008                   7              A            
127              009                   7              A            
127              967                   8              A            
127              968                   8              A            
127              995                   8              A            
127              996                   8              A            
127              997                   8              A            
127              998                   8              A            
127              999                   8              A            
128              006                   7              A            
128              007                   7              A            
128              008                   7              A            
128              009                   7              A            
128              967                   8              A            
128              968                   8              A            
128              995                   8              A            
128              996                   8              A            
128              997                   8              A            
128              998                   8              A            
128              999                   8              A            
129              006                   8              A            
129              007                   8              A            
129              008                   8              A            
129              009                   8              A            
129              967                   8              A            
129              968                   8              A            
129              995                   8              A            
129              996                   8              A            
129              997                   8              A            
129              998                   8              A            
129              999                   8              A            
130              006                   7              A            
130              007                   7              A            
130              008                   7              A            
130              009                   7              A            
130              967                   8              A            
130              968                   8              A            
130              995                   8              A            
130              996                   8              A            
130              997                   8              A            
130              998                   8              A            
130              999                   8              A            
131              006                   8              A            
131              007                   8              A            
131              008                   8              A            
131              009                   8              A            
131              967                   8              A            
131              968                   8              A            
131              995                   8              A            
131              996                   8              A            
131              997                   8              A            
131              998                   8              A            
131              999                   8              A            
132              006                   7              A            
132              007                   7              A            
132              008                   7              A            
132              009                   7              A            
132              967                   8              A            
132              968                   8              A            
132              995                   8              A            
132              996                   8              A            
132              997                   8              A            
132              998                   8              A            
132              999                   8              A            
133              006                   8              A            
133              007                   8              A            
133              008                   8              A            
133              009                   8              A            
133              967                   8              A            
133              968                   8              A            
133              995                   8              A            
133              996                   8              A            
133              997                   8              A            
133              998                   8              A            
133              999                   8              A            
134              006                   7              A            
134              007                   7              A            
134              008                   7              A            
134              009                   7              A            
134              967                   8              A            
134              968                   8              A            
134              995                   8              A            
134              996                   8              A            
134              997                   8              A            
134              998                   8              A            
134              999                   8              A            
135              006                   7              A            
135              007                   7              A            
135              008                   7              A            
135              009                   7              A            
135              967                   8              A            
135              968                   8              A            
135              995                   8              A            
135              996                   8              A            
135              997                   8              A            
135              998                   8              A            
135              999                   8              A            
136              006                   8              A            
136              007                   8              A            
136              008                   8              A            
136              009                   8              A            
136              967                   8              A            
136              968                   8              A            
136              995                   8              A            
136              996                   8              A            
136              997                   8              A            
136              998                   8              A            
136              999                   8              A            
137              006                   7              A            
137              007                   7              A            
137              008                   7              A            
137              009                   7              A            
137              967                   8              A            
137              968                   8              A            
137              995                   8              A            
137              996                   8              A            
137              997                   8              A            
137              998                   8              A            
137              999                   8              A            
138              006                   7              A            
138              007                   7              A            
138              008                   7              A            
138              009                   7              A            
138              967                   8              A            
138              968                   8              A            
138              995                   8              A            
138              996                   8              A            
138              997                   8              A            
138              998                   8              A            
138              999                   8              A            
139              006                   7              A            
139              007                   7              A            
139              008                   7              A            
139              009                   7              A            
139              967                   8              A            
139              968                   8              A            
139              995                   8              A            
139              996                   8              A            
139              997                   8              A            
139              998                   8              A            
139              999                   8              A            
140              006                   8              A            
140              007                   8              A            
140              008                   8              A            
140              009                   8              A            
140              967                   8              A            
140              968                   8              A            
140              995                   8              A            
140              996                   8              A            
140              997                   8              A            
140              998                   8              A            
140              999                   8              A            
141              006                   8              A            
141              007                   8              A            
141              008                   8              A            
141              009                   8              A            
141              967                   8              A            
141              968                   8              A            
141              995                   8              A            
141              996                   8              A            
141              997                   8              A            
141              998                   8              A            
141              999                   8              A            
142              006                   8              A            
142              007                   8              A            
142              008                   8              A            
142              009                   8              A            
142              967                   8              A            
142              968                   8              A            
142              995                   8              A            
142              996                   8              A            
142              997                   8              A            
142              998                   8              A            
142              999                   8              A            
143              006                   8              A            
143              007                   8              A            
143              008                   8              A            
143              009                   8              A            
143              967                   8              A            
143              968                   8              A            
